org_name,line_type,as_of_date,policy_count,premium,fee_amount,fee_rate_avg,line_factor,first_day_part,time_part,earned_premium_cum
宜宾,商业保险,2026-06-30,8556,11609310.04,2501014.88,0.21543182767819335,0.94,2350953.9872,7542988.776027397,9893942.763227398
宜宾,商业保险,2026-07-31,8556,11609310.04,2501014.88,0.21543182767819335,0.94,2350953.9872,7945260.006684932,10296213.993884932
宜宾,商业保险,2026-08-31,8556,11609310.04,2501014.88,0.21543182767819335,0.94,2350953.9872,8293242.206082191,10644196.193282193
宜宾,商业保险,2026-09-30,8556,11609310.04,2501014.88,0.21543182767819335,0.94,2350953.9872,8576400.691342466,10927354.678542465
宜宾,商业保险,2026-10-31,8556,11609310.04,2501014.88,0.21543182767819335,0.94,2350953.9872,8812249.53079452,11163203.517994521
宜宾,商业保险,2026-11-30,8556,11609310.04,2501014.88,0.21543182767819335,0.94,2350953.9872,8978300.284602739,11329254.27180274
宜宾,商业保险,2026-12-31,8556,11609310.04,2501014.88,0.21543182767819335,0.94,2350953.9872,9083132.74849315,11434086.735693151
德阳,交强险,2026-01-31,9504,6905665.82,732855.93,0.10612386250685962,0.82,600941.8626,3915172.5713150688,4516114.433915068
德阳,交强险,2026-02-28,9504,6905665.82,732855.93,0.10612386250685962,0.82,600941.8626,4288534.901315069,4889476.7639150685
德阳,交强险,2026-03-31,9504,6905665.82,732855.93,0.10612386250685962,0.82,600941.8626,4647849.187945206,5248791.050545205
德阳,交强险,2026-04-30,9504,6905665.82,732855.93,0.10612386250685962,0.82,600941.8626,4951042.781369863,5551984.643969863
德阳,交强险,2026-05-31,9504,6905665.82,732855.93,0.10612386250685962,0.82,600941.8626,5223529.00030137,5824470.86290137
德阳,交强险,2026-06-30,9504,6905665.82,732855.93,0.10612386250685962,0.82,600941.8626,5451217.607178083,6052159.469778082
德阳,交强险,2026-07-31,9504,6905665.82,732855.93,0.10612386250685962,0.82,600941.8626,5647580.4509863015,6248522.313586301
德阳,交强险,2026-08-31,9504,6905665.82,732855.93,0.10612386250685962,0.82,600941.8626,5805181.442849315,6406123.305449315
德阳,交强险,2026-09-30,9504,6905665.82,732855.93,0.10612386250685962,0.82,600941.8626,5928698.582,6529640.4446
德阳,交强险,2026-10-31,9504,6905665.82,732855.93,0.10612386250685962,0.82,600941.8626,6029685.228739726,6630627.091339726
德阳,交强险,2026-11-30,9504,6905665.82,732855.93,0.10612386250685962,0.82,600941.8626,6103067.85290411,6704009.71550411
德阳,交强险,2026-12-31,9504,6905665.82,732855.93,0.10612386250685962,0.82,600941.8626,6155619.526219178,6756561.388819179
德阳,商业保险,2026-01-31,3992,5480599.67,1300876.81,0.23736030513609838,0.94,1222824.2014,2391818.0197260273,3614642.2211260274
德阳,商业保险,2026-02-28,3992,5480599.67,1300876.81,0.23736030513609838,0.94,1222824.2014,2656837.7478356166,3879661.9492356163
德阳,商业保险,2026-03-31,3992,5480599.67,1300876.81,0.23736030513609838,0.94,1222824.2014,2921758.7608767124,4144582.962276712
德阳,商业保险,2026-04-30,3992,5480599.67,1300876.81,0.23736030513609838,0.94,1222824.2014,3153242.839589041,4376067.040989041
德阳,商业保险,2026-05-31,3992,5480599.67,1300876.81,0.23736030513609838,0.94,1222824.2014,3370507.165287671,4593331.366687671
德阳,商业保险,2026-06-30,3992,5480599.67,1300876.81,0.23736030513609838,0.94,1222824.2014,3556310.2285753423,4779134.429975342
德阳,商业保险,2026-07-31,3992,5480599.67,1300876.81,0.23736030513609838,0.94,1222824.2014,3725786.6410136987,4948610.842413698
德阳,商业保险,2026-08-31,3992,5480599.67,1300876.81,0.23736030513609838,0.94,1222824.2014,3864717.495041096,5087541.696441096
德阳,商业保险,2026-09-30,3992,5480599.67,1300876.81,0.23736030513609838,0.94,1222824.2014,3970259.782191781,5193083.983591781
德阳,商业保险,2026-10-31,3992,5480599.67,1300876.81,0.23736030513609838,0.94,1222824.2014,4057246.4587671235,5280070.660167123
德阳,商业保险,2026-11-30,3992,5480599.67,1300876.81,0.23736030513609838,0.94,1222824.2014,4120609.3220821917,5343433.523482191
德阳,商业保险,2026-12-31,3992,5480599.67,1300876.81,0.23736030513609838,0.94,1222824.2014,4165891.5135616437,5388715.714961643
新都,交强险,2026-01-31,13074,13589345.74,1170243.99,0.0861148146783408,0.82,959600.0717999999,7296814.3282739725,8256414.4000739725
新都,交强险,2026-02-28,13074,13589345.74,1170243.99,0.0861148146783408,0.82,959600.0717999999,8090695.965835617,9050296.037635617
新都,交强险,2026-03-31,13074,13589345.74,1170243.99,0.0861148146783408,0.82,959600.0717999999,8892003.73030137,9851603.80210137
新都,交强险,2026-04-30,13074,13589345.74,1170243.99,0.0861148146783408,0.82,959600.0717999999,9572033.036849316,10531633.108649315
新都,交强险,2026-05-31,13074,13589345.74,1170243.99,0.0861148146783408,0.82,959600.0717999999,10179802.393972604,11139402.465772603
新都,交强险,2026-06-30,13074,13589345.74,1170243.99,0.0861148146783408,0.82,959600.0717999999,10701410.50041096,11661010.57221096
新都,交强险,2026-07-31,13074,13589345.74,1170243.99,0.0861148146783408,0.82,959600.0717999999,11183849.28271233,12143449.354512328
新都,交强险,2026-08-31,13074,13589345.74,1170243.99,0.0861148146783408,0.82,959600.0717999999,11591541.432767123,12551141.504567124
新都,交强险,2026-09-30,13074,13589345.74,1170243.99,0.0861148146783408,0.82,959600.0717999999,11905421.951205479,12865022.02300548
新都,交强险,2026-10-31,13074,13589345.74,1170243.99,0.0861148146783408,0.82,959600.0717999999,12141658.86841096,13101258.940210959
新都,交强险,2026-11-30,13074,13589345.74,1170243.99,0.0861148146783408,0.82,959600.0717999999,12291825.999753425,13251426.071553426
新都,交强险,2026-12-31,13074,13589345.74,1170243.99,0.0861148146783408,0.82,959600.0717999999,12389408.457068494,13349008.528868493
新都,商业保险,2026-01-31,10309,30494127.34,7398298.67,0.24261388389676738,0.94,6954400.749799999,13041655.123780822,19996055.87358082
新都,商业保险,2026-02-28,10309,30494127.34,7398298.67,0.24261388389676738,0.94,6954400.749799999,14582255.824821917,21536656.574621916
新都,商业保险,2026-03-31,10309,30494127.34,7398298.67,0.24261388389676738,0.94,6954400.749799999,16189900.129972603,23144300.879772604
新都,商业保险,2026-04-30,10309,30494127.34,7398298.67,0.24261388389676738,0.94,6954400.749799999,17582983.80131507,24537384.55111507
新都,商业保险,2026-05-31,10309,30494127.34,7398298.67,0.24261388389676738,0.94,6954400.749799999,18791874.053041097,25746274.802841097
新都,商业保险,2026-06-30,10309,30494127.34,7398298.67,0.24261388389676738,0.94,6954400.749799999,19808754.91490411,26763155.66470411
新都,商业保险,2026-07-31,10309,30494127.34,7398298.67,0.24261388389676738,0.94,6954400.749799999,20762423.31210959,27716824.06190959
新都,商业保险,2026-08-31,10309,30494127.34,7398298.67,0.24261388389676738,0.94,6954400.749799999,21571892.188602738,28526292.93840274
新都,商业保险,2026-09-30,10309,30494127.34,7398298.67,0.24261388389676738,0.94,6954400.749799999,22180635.732136987,29135036.481936987
新都,商业保险,2026-10-31,10309,30494127.34,7398298.67,0.24261388389676738,0.94,6954400.749799999,22620799.55969863,29575200.30949863
新都,商业保险,2026-11-30,10309,30494127.34,7398298.67,0.24261388389676738,0.94,6954400.749799999,22882467.727342464,29836868.477142464
新都,商业保险,2026-12-31,10309,30494127.34,7398298.67,0.24261388389676738,0.94,6954400.749799999,23045990.475452054,30000391.225252055
本部,交强险,2026-01-31,27,24073.61,737.07,0.030617344054340002,0.82,604.3974,8719.390931506849,9323.788331506848
本部,交强险,2026-02-28,27,24073.61,737.07,0.030617344054340002,0.82,604.3974,10216.590438356165,10820.987838356165
本部,交强险,2026-03-31,27,24073.61,737.07,0.030617344054340002,0.82,604.3974,11766.92789041096,12371.32529041096
本部,交强险,2026-04-30,27,24073.61,737.07,0.030617344054340002,0.82,604.3974,13201.85090410959,13806.24830410959
本部,交强险,2026-05-31,27,24073.61,737.07,0.030617344054340002,0.82,604.3974,14682.123369863013,15286.520769863013
本部,交强险,2026-06-30,27,24073.61,737.07,0.030617344054340002,0.82,604.3974,16107.741452054794,16712.138852054795
本部,交强险,2026-07-31,27,24073.61,737.07,0.030617344054340002,0.82,604.3974,17501.98389041096,18106.381290410958
本部,交强险,2026-08-31,27,24073.61,737.07,0.030617344054340002,0.82,604.3974,18712.070328767124,19316.467728767122
本部,交强险,2026-09-30,27,24073.61,737.07,0.030617344054340002,0.82,604.3974,19811.014657534248,20415.412057534246
本部,交强险,2026-10-31,27,24073.61,737.07,0.030617344054340002,0.82,604.3974,20944.026438356166,21548.423838356164
本部,交强险,2026-11-30,27,24073.61,737.07,0.030617344054340002,0.82,604.3974,22036.431534246574,22640.828934246576
本部,交强险,2026-12-31,27,24073.61,737.07,0.030617344054340002,0.82,604.3974,22991.787205479453,23596.18460547945
本部,商业保险,2026-01-31,16,53871.79,3924.05,0.07284053490704505,0.94,3688.607,10870.335863013699,14558.942863013699
本部,商业保险,2026-02-28,16,53871.79,3924.05,0.07284053490704505,0.94,3688.607,14683.20890410959,18371.81590410959
本部,商业保险,2026-03-31,16,53871.79,3924.05,0.07284053490704505,0.94,3688.607,18474.368630136985,22162.975630136985
本部,商业保险,2026-04-30,16,53871.79,3924.05,0.07284053490704505,0.94,3688.607,21934.722328767122,25623.329328767122
本部,商业保险,2026-05-31,16,53871.79,3924.05,0.07284053490704505,0.94,3688.607,25510.42115068493,29199.02815068493
本部,商业保险,2026-06-30,16,53871.79,3924.05,0.07284053490704505,0.94,3688.607,28970.77484931507,32659.38184931507
本部,商业保险,2026-07-31,16,53871.79,3924.05,0.07284053490704505,0.94,3688.607,32526.305561643836,36214.91256164383
本部,商业保险,2026-08-31,16,53871.79,3924.05,0.07284053490704505,0.94,3688.607,35934.90860273973,39623.515602739724
本部,商业保险,2026-09-30,16,53871.79,3924.05,0.07284053490704505,0.94,3688.607,39082.107506849316,42770.71450684932
